,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1384,Kinzel Martin,,40,DSSS-volím budouc.našich dětí,DSSS,DSSS,6,326,2.38,0,0,2014
1385,Klárová Lenka,,39,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,12,400,2.27,0,0,2014
1386,Klementová Lenka Ing. Mgr.,Ing.,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,25,1069,2.16,22,0,2014
1387,Klíma Petr Ing.,Ing.,57,Sdružení Mostečané Mostu,NK,BEZPP,31,2890,2.2,21,0,2014
1388,Knobloch Kamil,,31,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,44,348,1.77,0,0,2014
1389,Knobloch Miloslav,,55,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,30,405,2.06,0,0,2014
1390,Knobloch Petr Ing.,Ing.,51,"SZ, NK za Most",Zelení,BEZPP,24,609,2.23,0,0,2014
1391,Kohout Jiří Ing.,Ing.,44,Sdružení Mostečané Mostu,NK,BEZPP,37,2833,2.15,27,0,2014
1392,Kolaříková Lucie,,29,Občanská demokratická strana,ODS,BEZPP,34,789,2.08,31,0,2014
1393,Kolářský Vladimír,,51,ANO 2011,ANO,ANO,18,1839,2.25,12,0,2014
1394,Kolminovská Ivana,,35,"""OMMO - hlas pro občana""",OMMO,BEZPP,38,149,1.9000000000000001,0,0,2014
1395,Komárek Karel DiS.,DiS.,36,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,1,673,3.43,0,0,2014
1396,Komárková Marta,,66,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,40,372,1.9000000000000001,0,0,2014
1397,Komenda Adam,,23,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,36,369,2.1,0,0,2014
1398,Komenda Pavel Ing.,Ing.,50,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,3,520,2.95,0,0,2014
1399,Končel Jiří Ing.,Ing.,29,"SZ, NK za Most",Zelení,BEZPP,30,584,2.14,0,0,2014
1400,Končel Petr MUDr.,MUDr.,56,"SZ, NK za Most",Zelení,Zelení,3,976,3.58,0,0,2014
1401,Koranda Jiří Ing.,Ing.,56,Sdružení Mostečané Mostu,NK,S.cz,9,3007,2.29,9,1,2014
1402,Kostiha Stanislav Ing.,Ing.,75,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,18,407,2.31,0,0,2014
1403,Kotíšek René Ing.,Ing.,44,Toryové,TOR,BEZPP,45,181,1.86,0,0,2014
1404,Kotlan Roman,,50,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,1094,2.21,9,0,2014
1405,Kouba Přemysl,,38,Občanská demokratická strana,ODS,ODS,45,619,1.6300000000000001,42,0,2014
1406,Koulová Renata Ing. et Ing.,Ing.,44,ANO 2011,ANO,BEZPP,8,1914,2.34,2,0,2014
1407,Kout Miroslav,,59,Severočeši Most,NK,BEZPP,33,4928,2.15,15,0,2014
1408,Koutník Jakub,,28,DSSS-volím budouc.našich dětí,DSSS,BEZPP,11,321,2.34,0,0,2014
1409,Kovář Martin,,34,Česká str.sociálně demokrat.,ČSSD,ČSSD,30,1052,2.13,27,0,2014
1410,Kovářík Antonín,,68,DSSS-volím budouc.našich dětí,DSSS,BEZPP,39,276,2.0100000000000002,0,0,2014
1411,Kovářík Pavel,,45,DSSS-volím budouc.našich dětí,DSSS,DSSS,2,390,2.84,0,0,2014
1412,Koželuhová Ivana,,46,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,31,399,2.0300000000000002,0,0,2014
1413,Kožíšek Petr Ing.,Ing.,30,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,11,446,2.5300000000000002,0,0,2014
1414,Kožnar Milan,,40,Sdružení Mostečané Mostu,NK,S.cz,23,2933,2.23,13,0,2014
1415,Kraitl Karel,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,16,1122,2.27,13,0,2014
1416,Krampera David,,28,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,37,396,2.02,0,0,2014
1417,Krastenicsová Radmila Ing.,Ing.,47,Komunistická str.Čech a Moravy,KSČM,BEZPP,7,1773,2.39,2,0,2014
1418,Kraus Jiří,,39,"SZ, NK za Most",Zelení,BEZPP,5,970,3.56,0,0,2014
1419,Krejčíř Vojtěch JUDr.,JUDr.,63,Sdružení Mostečané Mostu,NK,BEZPP,8,3041,2.31,8,1,2014
1420,Krhounek Jiří MUDr.,MUDr.,59,Občanská demokratická strana,ODS,ODS,5,1095,2.88,4,0,2014
1421,Krob Milan,,25,DSSS-volím budouc.našich dětí,DSSS,BEZPP,12,309,2.25,0,0,2014
1422,Kropáček Richard Mgr. Bc.,Mgr.,52,Toryové,TOR,BEZPP,5,364,3.74,0,0,2014
1423,Křížová Kristýna,,22,DSSS-volím budouc.našich dětí,DSSS,BEZPP,24,296,2.16,0,0,2014
1424,Kubal Josef,,67,Občanská demokratická strana,ODS,ODS,42,708,1.86,39,0,2014
1425,Kubal Tomáš,,40,Občanská demokratická strana,ODS,ODS,3,1244,3.2800000000000002,1,1,2014
1426,Kubalová Veronika Mgr.,Mgr.,39,Občanská demokratická strana,ODS,ODS,21,851,2.24,18,0,2014
1427,Kubáňová Jitka,,41,"""OMMO - hlas pro občana""",OMMO,BEZPP,29,165,2.11,0,0,2014
1428,Kubík Vladimír,,61,Severočeši Most,NK,BEZPP,17,5034,2.2,17,1,2014
1429,Kubík Vladimír,,30,DSSS-volím budouc.našich dětí,DSSS,BEZPP,30,288,2.1,0,0,2014
1430,Kubíková Naďa,,50,DSSS-volím budouc.našich dětí,DSSS,DSSS,13,305,2.22,0,0,2014
1431,Kuda Ivan,,40,"""OMMO - hlas pro občana""",OMMO,BEZPP,8,195,2.49,0,0,2014
1432,Kunca Miroslav Ing.,Ing.,47,ANO 2011,ANO,BEZPP,9,1893,2.31,3,0,2014
1433,Kurcin Jiří,,65,Sdružení Mostečané Mostu,NK,KSČM,27,3146,2.39,17,0,2014
1434,Kůrka Tomáš,,19,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,21,379,2.15,0,0,2014
1435,Kurková Kateřina Ing.,Ing.,38,Sdružení Mostečané Mostu,NK,BEZPP,28,2915,2.22,18,0,2014
1436,Kuřitka Aleš Bc.,Bc.,28,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,14,422,2.15,0,0,2014
1437,Kusák Jan,,35,DSSS-volím budouc.našich dětí,DSSS,BEZPP,7,312,2.27,0,0,2014
1438,Kusek Robert Bc.,Bc.,32,Česká str.sociálně demokrat.,ČSSD,ČSSD,28,1083,2.19,25,0,2014
1439,Kwolek Josef,,47,Občanská demokratická strana,ODS,ODS,19,775,2.04,16,0,2014
1440,Kydlíčková Šárka,,47,ANO 2011,ANO,BEZPP,20,1802,2.2,14,0,2014
1441,Labík Martin,,23,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,24,373,2.12,0,0,2014
1442,Landová Martina Mgr.,Mgr.,50,Koalice TOP09 a KDU-ČSL,TOP 09,TOP 09,1,526,2.99,0,0,2014
1443,Laur Roman,,72,Komunistická str.Čech a Moravy,KSČM,KSČM,38,1598,2.15,33,0,2014
1444,Lerchová Waltraud,,71,DSSS-volím budouc.našich dětí,DSSS,BEZPP,40,270,1.97,0,0,2014
1445,Lexa Jakub,,18,"""OMMO - hlas pro občana""",OMMO,BEZPP,30,159,2.0300000000000002,0,0,2014
1446,Libecajtová Lucie,,36,Sdružení Mostečané Mostu,NK,BEZPP,11,3000,2.2800000000000002,1,0,2014
1447,Lidiaková Ivana,,51,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,34,393,2.0,0,0,2014
1448,Linka Petr,,55,Česká str.sociálně demokrat.,ČSSD,ČSSD,33,1032,2.09,30,0,2014
1449,Lipert Martin,,37,ANO 2011,ANO,BEZPP,28,1810,2.21,22,0,2014
1450,Lisický Pavel MUDr.,MUDr.,39,ANO 2011,ANO,BEZPP,21,1967,2.4,15,0,2014
1451,Litto Vlastimil Bc. DiS.,Bc.,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,9,1209,2.44,4,0,2014
1452,Lochnerová Danuše Bc.,Bc.,56,"SZ, NK za Most",Zelení,Zelení,4,643,2.36,0,0,2014
1453,Losos Martin,,37,Sdružení Mostečané Mostu,NK,BEZPP,15,2967,2.2600000000000002,5,0,2014
1454,Macková Renáta,,48,Severočeši Most,NK,BEZPP,20,5018,2.19,2,0,2014
1455,Macurová Ludmila,,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,15,1069,2.16,12,0,2014
1456,Machová Kateřina Ing.,Ing.,33,Občanská demokratická strana,ODS,BEZPP,17,800,2.1,14,0,2014
1457,Malečková Monika,,35,"SZ, NK za Most",NK,BEZPP,32,557,2.04,0,0,2014
1458,Málek Ondřej Ing.,Ing.,28,Severočeši Most,NK,BEZPP,14,5260,2.3000000000000003,14,1,2014
1459,Málek Viktor JUDr.,JUDr.,68,Severočeši Most,NK,BEZPP,42,4864,2.12,24,0,2014
1460,Malkus Vladan,,40,"SZ, NK za Most",NK,BEZPP,10,633,2.32,0,0,2014
1461,Malý Alois,,69,Severočeši Most,NK,BEZPP,6,5225,2.2800000000000002,7,1,2014
1462,Mandinec Miroslav,,67,Severočeši Most,NK,BEZPP,30,5014,2.19,12,0,2014
1463,Marek Michal,,37,Občanská demokratická strana,ODS,ODS,10,815,2.14,9,0,2014
1464,Marel Zdeněk Ing. IWE,,38,Česká str.sociálně demokrat.,ČSSD,ČSSD,21,1099,2.22,18,0,2014
1465,Marel Zdeněk Ing.,Ing.,66,Česká str.sociálně demokrat.,ČSSD,ČSSD,35,1035,2.09,32,0,2014
1466,Martinková Hana Bc.,Bc.,29,Severočeši Most,NK,BEZPP,39,4932,2.15,21,0,2014
1467,Mašek Vlastimil,,50,Komunistická str.Čech a Moravy,KSČM,KSČM,22,1638,2.2,17,0,2014
1468,Matějka Eduard MUDr.,MUDr.,64,Severočeši Most,NK,BEZPP,36,5032,2.2,18,0,2014
1469,Matlochová Lenka,,43,Toryové,TOR,BEZPP,16,189,1.94,0,0,2014
1470,Mayer Karel Ing. Ph.D.,Ing.,37,"""OMMO - hlas pro občana""",OMMO,BEZPP,2,205,2.62,0,0,2014
1471,Mayerová Martina,,41,"SZ, NK za Most",Zelení,BEZPP,21,593,2.17,0,0,2014
1472,Mejstříková Lubomíra Ing. CSc.,Ing.,57,ANO 2011,ANO,BEZPP,6,1966,2.4,6,1,2014
1473,Melicharová Anna,,66,"SZ, NK za Most",Zelení,Zelení,11,588,2.15,0,0,2014
1474,Mikulášek Daniel,,50,Toryové,TOR,BEZPP,17,188,1.93,0,0,2014
1475,Mikulášková Markéta Mgr.,Mgr.,47,Toryové,TOR,BEZPP,7,240,2.46,0,0,2014
1476,Milfaitová Alena,,53,DSSS-volím budouc.našich dětí,DSSS,BEZPP,45,248,1.81,0,0,2014
1477,Minčák Jiří,,55,Sdružení Mostečané Mostu,NK,BEZPP,45,2334,1.77,35,0,2014
1478,Miškolci Roman,,30,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,25,382,2.17,0,0,2014
1479,Mocek Jan Mgr. Bc.,Mgr.,29,Občanská demokratická strana,ODS,BEZPP,28,764,2.0100000000000002,25,0,2014
1480,Monhartová Irena Ing.,Ing.,29,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,3,492,2.5100000000000002,0,0,2014
1481,Mrnka Jan Bc.,Bc.,33,DSSS-volím budouc.našich dětí,DSSS,BEZPP,16,316,2.3000000000000003,0,0,2014
1482,Mudroch Jiří,,76,Sdružení Mostečané Mostu,NK,BEZPP,41,2727,2.07,31,0,2014
1483,Müller Slavomír,,39,DSSS-volím budouc.našich dětí,DSSS,BEZPP,20,296,2.16,0,0,2014
1484,Müllnerová Karolína,,44,Toryové,TOR,BEZPP,25,190,1.95,0,0,2014
1485,Navrátil Jiří,,61,Komunistická str.Čech a Moravy,KSČM,BEZPP,29,1596,2.15,24,0,2014
1486,Nedvěd Jiří Ing.,Ing.,29,Severočeši Most,NK,BEZPP,13,5090,2.22,13,1,2014
1487,Nedvědová Martina,,35,Toryové,TOR,BEZPP,41,161,1.6500000000000001,0,0,2014
1488,Nedvědová Venuše Mgr.,Mgr.,30,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,4,591,3.0100000000000002,0,0,2014
1489,Nekolová Gabriela DiS.,DiS.,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,45,855,1.73,42,0,2014
1490,Némethová Hana,,40,Koalice TOP09 a KDU-ČSL,TOP 09,TOP 09,20,374,2.12,0,0,2014
1491,Nermuťová Martina,,43,Komunistická str.Čech a Moravy,KSČM,BEZPP,39,1554,2.09,34,0,2014
1492,Nesládek Petr Akad. arch.,Akad.,55,Severočeši Most,NK,BEZPP,32,4982,2.17,14,0,2014
1493,Nešporová Blanka,,54,Sdružení Mostečané Mostu,NK,S.cz,7,3088,2.35,7,1,2014
1494,Nevyhoštěný Petr,,36,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,7,470,2.4,0,0,2014
1495,Nosek Martin,,42,Komunistická str.Čech a Moravy,KSČM,KSČM,35,1604,2.16,30,0,2014
1496,Novak Jan Ing. et Bc.,Bc.,38,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,6,547,2.79,0,0,2014
1497,Novák Antonín Ing.,Ing.,72,Sdružení Mostečané Mostu,NK,BEZPP,36,2846,2.16,26,0,2014
1498,Novák Jiří Ing.,Ing.,68,Komunistická str.Čech a Moravy,KSČM,KSČM,2,1815,2.44,3,1,2014
1499,Novák Ladislav,,46,DSSS-volím budouc.našich dětí,DSSS,DSSS,5,338,2.46,0,0,2014
1500,Nováková Drahoslava,,60,Sdružení Mostečané Mostu,NK,BEZPP,42,2616,1.99,32,0,2014
1501,Novotná Jiřina,,74,Česká str.sociálně demokrat.,ČSSD,ČSSD,32,1014,2.05,29,0,2014
1502,Novotná Zdeňka,,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,23,1050,2.12,20,0,2014
1503,Novotný Jiří Ing. Mgr.,Ing.,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,10,1168,2.36,7,0,2014
1504,"Novotný Karel Mgr. MBA, LL.M.",LL.M.,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,1,1690,3.42,1,1,2014
1505,Ochtábec Ladislav,,50,Sdružení Mostečané Mostu,NK,BEZPP,25,2927,2.23,15,0,2014
1506,Olexa Petr,,43,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,15,392,2.23,0,0,2014
1507,Oppltová Liduška,,69,Česká str.sociálně demokrat.,ČSSD,ČSSD,41,941,1.9000000000000001,38,0,2014
1508,Ozaňák Jakub Bc.,Bc.,27,Občanská demokratická strana,ODS,ODS,4,952,2.5100000000000002,6,0,2014
1509,Ozaňáková Monika,,25,Občanská demokratická strana,ODS,BEZPP,24,774,2.04,21,0,2014
1510,Paďourek Ivo Ing.,Ing.,65,Sdružení Mostečané Mostu,NK,BEZPP,18,2952,2.24,8,0,2014
1511,Pachman Lubomír,,61,ANO 2011,ANO,BEZPP,29,1822,2.22,23,0,2014
1512,Paluska Petr,,50,Toryové,TOR,BEZPP,27,201,2.06,0,0,2014
1513,Paník Josef,,60,DSSS-volím budouc.našich dětí,DSSS,BEZPP,36,289,2.11,0,0,2014
1514,Páník Josef,,30,DSSS-volím budouc.našich dětí,DSSS,BEZPP,9,312,2.27,0,0,2014
1515,Panocha Jan Bc.,Bc.,37,OR s podp.Inic.za MHD zdarma,NK,BEZPP,9,569,2.9,0,0,2014
1516,Panošková Marie Mgr.,Mgr.,55,Občanská demokratická strana,ODS,BEZPP,39,733,1.93,36,0,2014
1517,Paparega Jan Mgr.,Mgr.,33,Severočeši Most,ProKraj,BEZPP,2,5425,2.37,4,1,2014
1518,Patočková Ivana Ing.,Ing.,45,"""OMMO - hlas pro občana""",OMMO,BEZPP,24,177,2.2600000000000002,0,0,2014
1519,Paul Martin,,20,"""OMMO - hlas pro občana""",OMMO,BEZPP,32,159,2.0300000000000002,0,0,2014
1520,Pavelková Klára,,21,"SZ, NK za Most",Zelení,BEZPP,43,484,1.77,0,0,2014
1521,Pazourková Lucie Ing.,Ing.,39,ANO 2011,ANO,BEZPP,25,1812,2.21,19,0,2014
1522,Pech Pavel,,42,Občanská demokratická strana,ODS,ODS,20,773,2.0300000000000002,17,0,2014
1523,Pecháč Jiří,,62,DSSS-volím budouc.našich dětí,DSSS,BEZPP,38,279,2.0300000000000002,0,0,2014
1524,Pecháček Michal,,25,OR s podp.Inic.za MHD zdarma,NK,BEZPP,23,424,2.16,0,0,2014
1525,Pergl Petr,,41,Občanská demokratická strana,ODS,ODS,22,788,2.07,19,0,2014
1526,Peřinová Jana,,56,"""OMMO - hlas pro občana""",OMMO,BEZPP,11,180,2.3000000000000003,0,0,2014
1527,Pešan Ladislav,,31,OR s podp.Inic.za MHD zdarma,NK,BEZPP,20,414,2.11,0,0,2014
1528,Pešta Miroslav,,56,"SZ, NK za Most",Zelení,BEZPP,35,548,2.0100000000000002,0,0,2014
1529,Peštová Berenika Ing. Ph.D.,Ing.,43,ANO 2011,ANO,ANO,2,2176,2.66,2,1,2014
1530,Pětíková Ivana,,55,"SZ, NK za Most",NK,BEZPP,36,552,2.02,0,0,2014
1531,Pilařová Karolína,,27,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,29,418,2.13,0,0,2014
1532,Pilnajová Jitka,,45,"SZ, NK za Most",NK,BEZPP,41,512,1.87,0,0,2014
1533,Piroš Vladimír,,65,Občanská demokratická strana,ODS,BEZPP,25,787,2.07,22,0,2014
1534,Pitín Luboš Ing.,Ing.,50,Sdružení Mostečané Mostu,NS,S.cz,3,3288,2.5,1,1,2014
1535,Plocová Jana,,40,"""OMMO - hlas pro občana""",OMMO,ČS,18,165,2.11,0,0,2014
1536,Pochobradská Jana,,35,DSSS-volím budouc.našich dětí,DSSS,BEZPP,18,299,2.18,0,0,2014
1537,Polanský Luboš Ing. arch.,Ing.,42,Toryové,TOR,TOR,4,314,3.22,0,0,2014
1538,Polanský Petr,,40,"""OMMO - hlas pro občana""",OMMO,BEZPP,6,181,2.31,0,0,2014
1539,Polanský Tomáš MUDr.,MUDr.,40,Toryové,TOR,BEZPP,21,278,2.85,0,0,2014
1540,Polášek Patrik Ing.,Ing.,29,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,13,437,2.48,0,0,2014
1541,Polívka Jiří,,62,Komunistická str.Čech a Moravy,KSČM,KSČM,8,1731,2.33,3,0,2014
1542,Popelka Vít,,39,Severočeši Most,NK,BEZPP,44,4456,1.94,26,0,2014
1543,Pospíšil Tomáš Mgr.,Mgr.,33,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,25,419,2.14,0,0,2014
1544,Pošitmová Eliška,,22,Toryové,TOR,BEZPP,26,178,1.82,0,0,2014
1545,Pošitmová Michaela,,28,Toryové,TOR,BEZPP,35,158,1.62,0,0,2014
1546,Povolná Tereza,,23,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,2,531,2.71,0,0,2014
1547,Pracný Petr Ing.,Ing.,47,Komunistická str.Čech a Moravy,KSČM,KSČM,6,1736,2.34,1,0,2014
1548,Procházka Matěj,,24,Občanská demokratická strana,ODS,BEZPP,35,753,1.98,32,0,2014
1549,Procházka Roman,,49,ANO 2011,ANO,ANO,40,1640,2.0,34,0,2014
1550,Procházková Jana,,32,"""OMMO - hlas pro občana""",OMMO,BEZPP,37,154,1.96,0,0,2014
1551,Prokeš Radek,,40,ANO 2011,ANO,BEZPP,32,1768,2.16,26,0,2014
1552,Prokešová Patricie,,21,ANO 2011,ANO,BEZPP,41,1612,1.97,35,0,2014
1553,Prošek Luděk MgA.,MgA.,36,"SZ, NK za Most",Zelení,Zelení,6,724,2.65,0,0,2014
1554,Průcha Otta Ing.,Ing.,61,Sdružení Mostečané Mostu,NK,S.cz,12,2961,2.25,2,0,2014
1555,Průša Jaroslav,,43,ANO 2011,ANO,BEZPP,31,1768,2.16,25,0,2014
1556,Přibyl František,,62,Sdružení Mostečané Mostu,NK,BEZPP,34,2864,2.18,24,0,2014
1557,Pukišová Marie,,48,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,29,385,2.19,0,0,2014
1558,Pulcová Lenka,,25,DSSS-volím budouc.našich dětí,DSSS,BEZPP,42,263,1.92,0,0,2014
1559,Punčochářová Jaroslava,,40,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,34,360,2.04,0,0,2014
1560,Puntová Jaroslava,,56,ANO 2011,ANO,ANO,12,1901,2.32,6,0,2014
1561,Putna Ivan,,25,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,9,389,2.21,0,0,2014
1562,Racek Martin,,25,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,45,344,1.75,0,0,2014
1563,Raichl Václav,,40,Komunistická str.Čech a Moravy,KSČM,KSČM,18,1659,2.23,13,0,2014
1564,Raichl Zdeněk,,27,DSSS-volím budouc.našich dětí,DSSS,BEZPP,35,282,2.06,0,0,2014
1565,Raškovová Naďa,,61,Občanská demokratická strana,ODS,ODS,31,757,1.99,28,0,2014
1566,Richterová Jaroslava,,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,43,912,1.84,40,0,2014
1567,Ročárek Martin Ing.,Ing.,27,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,22,395,2.24,0,0,2014
1568,Rožková Blanka,,52,"SZ, NK za Most",Zelení,BEZPP,29,570,2.09,0,0,2014
1569,Rulf Vít,,36,Toryové,TOR,BEZPP,15,183,1.8800000000000001,0,0,2014
1570,Růžička Roman,,50,Koalice TOP09 a KDU-ČSL,TOP 09,KDU-ČSL,7,449,2.5500000000000003,0,0,2014
1571,Rybák Bohumil Mgr.,Mgr.,73,Občanská demokratická strana,ODS,BEZPP,18,801,2.11,15,0,2014
1572,Rybák Milan,,59,Sdružení Mostečané Mostu,NK,BEZPP,22,3132,2.38,12,0,2014
1573,Rybínová Marta,,39,"SZ, NK za Most",Zelení,BEZPP,16,597,2.19,0,0,2014
1574,Rybínová Marta,,61,"SZ, NK za Most",Zelení,BEZPP,33,542,1.98,0,0,2014
1575,Řeháček Petr Ing.,Ing.,30,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,4,502,2.85,0,0,2014
1576,Řehák Zdeněk Ing.,Ing.,81,Severočeši Most,NK,BEZPP,19,4985,2.18,1,0,2014
1577,Řehoř Pavel,,51,ANO 2011,ANO,ANO,33,1767,2.16,27,0,2014
1578,Řehoř Zdeněk,,52,"SZ, NK za Most",Zelení,BEZPP,42,493,1.81,0,0,2014
1579,Řehořová Hana,,49,"SZ, NK za Most",Zelení,BEZPP,45,448,1.6400000000000001,0,0,2014
1580,Sapoušek Miroslav,,41,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,19,432,2.2,0,0,2014
1581,Sarközi Karel,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,19,1044,2.11,16,0,2014
1582,Saska Jaroslav,,42,"""OMMO - hlas pro občana""",OMMO,BEZPP,7,167,2.13,0,0,2014
1583,Sedláčková Věra Ing. Ph.D.,Ing.,68,Komunistická str.Čech a Moravy,KSČM,KSČM,23,1657,2.23,18,0,2014
1584,Sedmíková Petra Mgr.,Mgr.,35,DSSS-volím budouc.našich dětí,NF,BEZPP,10,361,2.63,0,0,2014
1585,Seidl Miroslav Ing.,Ing.,57,Sdružení Mostečané Mostu,NK,BEZPP,29,2943,2.24,19,0,2014
1586,Schiller Jan Ing.,Ing.,42,ANO 2011,ANO,BEZPP,5,1940,2.37,5,1,2014
1587,Schillerová Angela Ing.,Ing.,42,Komunistická str.Čech a Moravy,KSČM,BEZPP,20,1656,2.23,15,0,2014
1588,Schus Štefan,,61,"""OMMO - hlas pro občana""",OMMO,BEZPP,42,136,1.73,0,0,2014
1589,Sigmund Adolf,,53,Severočeši Most,NK,BEZPP,4,5367,2.34,5,1,2014
1590,Slavíková Denisa,,23,Toryové,TOR,BEZPP,39,182,1.87,0,0,2014
1591,Smola Luděk,,52,ANO 2011,ANO,ANO,27,1795,2.19,21,0,2014
1592,Smolík Martin,,23,Občanská demokratická strana,ODS,ODS,27,787,2.07,24,0,2014
1593,Smolíková Alena,,35,DSSS-volím budouc.našich dětí,DSSS,BEZPP,25,291,2.12,0,0,2014
1594,Sojková Kateřina Bc.,Bc.,35,"SZ, NK za Most",NK,BEZPP,28,565,2.07,0,0,2014
1595,Soukup Leoš,,31,DSSS-volím budouc.našich dětí,NF,BEZPP,37,275,2.0,0,0,2014
1596,Soukupová Daniela,,55,ANO 2011,ANO,BEZPP,38,1664,2.0300000000000002,32,0,2014
1597,Soukupová Monika,,36,Komunistická str.Čech a Moravy,KSČM,BEZPP,33,1602,2.16,28,0,2014
1598,Stará Markéta Ing.,Ing.,36,Severočeši Most,NK,BEZPP,16,5103,2.23,16,1,2014
1599,Stárková Markéta,,21,"""OMMO - hlas pro občana""",OMMO,BEZPP,20,159,2.0300000000000002,0,0,2014
1600,Stehlík Miloš,,49,Severočeši Most,NK,BEZPP,38,4856,2.12,20,0,2014
1601,Steinböcková Edeltraut,,72,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,42,324,1.84,0,0,2014
1602,Steiner Lukáš,,22,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,41,332,1.8800000000000001,0,0,2014
1603,Stejskalová Josefa,,39,DSSS-volím budouc.našich dětí,DSSS,BEZPP,21,293,2.14,0,0,2014
1604,Stojčetović Jaroslava Mgr.,Mgr.,36,Občanská demokratická strana,ODS,ODS,13,812,2.14,10,0,2014
1605,Stolzová Eva,,43,DSSS-volím budouc.našich dětí,DSSS,BEZPP,43,271,1.97,0,0,2014
1606,Strakoš Martin Ing.,Ing.,45,Česká str.sociálně demokrat.,ČSSD,ČSSD,5,1266,2.56,3,0,2014
1607,Strakošová Veronika,,27,Česká str.sociálně demokrat.,ČSSD,ČSSD,7,1150,2.33,5,0,2014
1608,Strejc Tomáš,,41,Občanská demokratická strana,ODS,ODS,14,814,2.14,11,0,2014
1609,Stríž Tomáš,,39,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,42,372,1.9000000000000001,0,0,2014
1610,Strížová Markéta Bc.,Bc.,35,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,35,423,2.16,0,0,2014
1611,Struhovská Zdeňka,,47,ANO 2011,ANO,BEZPP,45,1387,1.69,39,0,2014
1612,Střihavka Pavel Ing.,Ing.,30,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,6,432,2.45,0,0,2014
1613,Stűtz Marcela Ing. Bc.,Ing.,50,"""OMMO - hlas pro občana""",OMMO,BEZPP,3,287,3.67,0,0,2014
1614,Suchý Vítězslav Ing.,Ing.,72,Komunistická str.Čech a Moravy,KSČM,KSČM,25,1610,2.17,20,0,2014
1615,Sůvová Marie,,67,Toryové,TOR,BEZPP,13,187,1.92,0,0,2014
1616,Svoboda Miloslav,,43,"""OMMO - hlas pro občana""",OMMO,BEZPP,16,163,2.08,0,0,2014
1617,Svobodová Hana Mgr. Ph.D.,Mgr.,46,"""OMMO - hlas pro občana""",OMMO,OMMO,4,203,2.59,0,0,2014
1618,Svobodová Helena,,45,DSSS-volím budouc.našich dětí,DSSS,BEZPP,19,300,2.19,0,0,2014
1619,Svobodová Jana,,33,Občanská demokratická strana,ODS,ODS,29,758,1.99,26,0,2014
